danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,track_name,artist_name,realkey,preview_url
0.4,0.082,D#,-20.555,Major,0.0423,0.921,0.388,0.124,0.0797,173.004,50TMULA0p9lEYV9FGlDtvA,spotify:track:50TMULA0p9lEYV9FGlDtvA,156480,4,Soothe - Demo/Remaster,The Smashing Pumpkins,D#Major,b3544eb74d18322ee5a39ec56713c1cd28f4d044?cid=774b29d4f13844c495f206cafdad9c86
0.301,0.805,D,-9.503,Major,0.0397,4.72e-06,0.419,0.245,0.602,110.879,19JKr3ZzvBTTNt93fTdKir,spotify:track:19JKr3ZzvBTTNt93fTdKir,200853,4,Frail & Bedazzled - Re,The Smashing Pumpkins,DMajor,f3a320dece6cc68b6fc5399197c1aff54efcefc6?cid=774b29d4f13844c495f206cafdad9c86
0.398,0.727,C,-7.931,Major,0.0317,0.000357,0.539,0.645,0.37,145.665,3bZz1D0gkn0LX4zXAKFDd1,spotify:track:3bZz1D0gkn0LX4zXAKFDd1,217822,4,Plume - Remastered,The Smashing Pumpkins,CMajor,58b7ed505689edc9e0ed9a2f61ed2ad62f4a10c6?cid=774b29d4f13844c495f206cafdad9c86
0.369,0.473,A,-15.018,Major,0.0329,0.0731,0.212,0.0602,0.24,87.907,2paz8VAcI58QTksmjLvn6y,spotify:track:2paz8VAcI58QTksmjLvn6y,250400,4,Whir - Remastered,The Smashing Pumpkins,AMajor,407e492bb140b5852254f0d431008f8d3625824e?cid=774b29d4f13844c495f206cafdad9c86
0.559,0.3,F#,-12.215,Major,0.0275,0.0605,0.839,0.114,0.235,131.028,5kSqhwSvi0Zc932k1OtzFL,spotify:track:5kSqhwSvi0Zc932k1OtzFL,212120,4,Blew Away - Remastered,The Smashing Pumpkins,F#Major,115a19c0a7d1d1a3ebdcc17cde761a08f81c15cd?cid=774b29d4f13844c495f206cafdad9c86
0.23,0.863,C#,-8.782,Minor,0.0556,3.23e-05,0.835,0.191,0.535,184.887,6x7NNkCFHenObTkB3jFs8n,spotify:track:6x7NNkCFHenObTkB3jFs8n,151053,4,Pissant - Remastered,The Smashing Pumpkins,C#Minor,7a6b89a0cad8de9ba3eeba9703ba41e21757977c?cid=774b29d4f13844c495f206cafdad9c86
0.218,0.807,F#,-7.466,Minor,0.044,1.18e-06,0.853,0.128,0.315,116.073,7312Eo9LfeRKXMYojugoFG,spotify:track:7312Eo9LfeRKXMYojugoFG,269552,4,Hello Kitty Kat - Rema,The Smashing Pumpkins,F#Minor,a415c559035c9a5e68ff9decb53d979a3cc342a6?cid=774b29d4f13844c495f206cafdad9c86
0.503,0.421,D#,-14.513,Major,0.0418,0.195,0.939,0.115,0.154,161.012,0SRwiDQBfokvXUe69UBXlq,spotify:track:0SRwiDQBfokvXUe69UBXlq,321920,3,Obscured - Remastered,The Smashing Pumpkins,D#Major,656c05267a89a798621989ced20a835983463af0?cid=774b29d4f13844c495f206cafdad9c86
0.422,0.208,A#,-15.886,Major,0.0318,0.896,0.0265,0.192,0.354,111.549,6N7JMoaUYgo4pwPgsnSobr,spotify:track:6N7JMoaUYgo4pwPgsnSobr,190587,3,Landslide - Remastered,The Smashing Pumpkins,A#Major,751ef3e1eb63774d8772c7b594bf4dee79d0eafc?cid=774b29d4f13844c495f206cafdad9c86
0.232,0.547,D,-11.39,Major,0.0311,0.000785,0.805,0.115,0.122,158.103,6abXDhplaDWaTSKY0TLGtI,spotify:track:6abXDhplaDWaTSKY0TLGtI,661307,4,Starla - Remastered,The Smashing Pumpkins,DMajor,6ea22f7939a5114cd4e55cf77289e5c383e5e43c?cid=774b29d4f13844c495f206cafdad9c86
0.319,0.636,C,-11.628,Major,0.0318,0.000253,0.897,0.248,0.145,102.947,6y8VSATjThVPQ0rtkFBcmO,spotify:track:6y8VSATjThVPQ0rtkFBcmO,199947,4,Blue - Remastered,The Smashing Pumpkins,CMajor,12fc3792335a153ea5702716dd0a39d2b8230144?cid=774b29d4f13844c495f206cafdad9c86
0.203,0.759,F,-7.698,Minor,0.0436,3.97e-06,0.393,0.0582,0.398,140.36,6hQ9VoMhh15M6kgzgD2hc7,spotify:track:6hQ9VoMhh15M6kgzgD2hc7,214813,4,A Girl Named Sandoz - ,The Smashing Pumpkins,FMinor,3e5fc2afccb92330bb91b1fd800eed777d21a693?cid=774b29d4f13844c495f206cafdad9c86
0.426,0.461,C,-8.894,Major,0.0262,0.000365,0.684,0.151,0.486,139.391,1Jsr69dSx8FhYbet1nkZeR,spotify:track:1Jsr69dSx8FhYbet1nkZeR,255787,4,La Dolly Vita - Remast,The Smashing Pumpkins,CMajor,d272ec09b48e00cd1d8ce540eae7d79b963684e8?cid=774b29d4f13844c495f206cafdad9c86
0.213,0.233,C,-23.376,Major,0.0548,0.242,0.839,0.353,0.0397,88.776,49KcrBkJ4lmxyXOgolBGtT,spotify:track:49KcrBkJ4lmxyXOgolBGtT,144567,3,Spaced - Remastered,The Smashing Pumpkins,CMajor,ffc0dd6a0d731fe38e6f4dae9332e784627de404?cid=774b29d4f13844c495f206cafdad9c86
0.422,0.357,E,-6.926,Major,0.0374,0.36,0.235,0.201,0.334,69.897,6AwF0AMFYkaeJ0PBZOGvDk,spotify:track:6AwF0AMFYkaeJ0PBZOGvDk,128560,3,Bye June - Ignoffo Ses,The Smashing Pumpkins,EMajor,83c44076e758da230515585d762f0abe622fc61d?cid=774b29d4f13844c495f206cafdad9c86
0.604,0.781,G,-4.68,Major,0.0274,0.0292,1.26e-05,0.298,0.566,121.024,0ZA5dXmuCJxqitbAwRJVke,spotify:track:0ZA5dXmuCJxqitbAwRJVke,226627,4,My Dahlia - Ignoffo Se,The Smashing Pumpkins,GMajor,520041634df9c3298897799c40e5609ae99ff2c2?cid=774b29d4f13844c495f206cafdad9c86
0.412,0.896,D,-6.709,Major,0.0379,1.57e-05,0.528,0.115,0.214,125.518,0o4xPhzPhUJAklMHcdNrXy,spotify:track:0o4xPhzPhUJAklMHcdNrXy,177133,4,Jesus Loves His Babies,The Smashing Pumpkins,DMajor,59edfd502b532d313f938108174bf7bee5279bd3?cid=774b29d4f13844c495f206cafdad9c86
0.469,0.954,G,-4.799,Major,0.0362,2.4e-05,0.0531,0.336,0.503,105.879,4KGegVWRXvGnvWe1XaKcni,spotify:track:4KGegVWRXvGnvWe1XaKcni,160493,4,Cinnamon Girl - Ignoff,The Smashing Pumpkins,GMajor,5b24c89f7e15c4205acba0fcdf556601b609166e?cid=774b29d4f13844c495f206cafdad9c86
0.419,0.543,G,-7.409,Major,0.027,0.0481,0.71,0.117,0.226,140.621,3pgGUOkknJAqCAX5fY1sOR,spotify:track:3pgGUOkknJAqCAX5fY1sOR,294413,4,Glynis - 2012 Mix,The Smashing Pumpkins,GMajor,c79a2de240099ab78114c4bc544c202cac8bbbef?cid=774b29d4f13844c495f206cafdad9c86
0.485,0.379,D,-11.855,Major,0.0422,0.82,0.797,0.113,0.269,110.169,0U0fxikAKCbrbxGoGQB4ps,spotify:track:0U0fxikAKCbrbxGoGQB4ps,414547,4,Crawl - Gish Sessions ,The Smashing Pumpkins,DMajor,941530c9839b0999685443adb44868888c4c490b?cid=774b29d4f13844c495f206cafdad9c86
0.124,0.529,G#,-10.878,Major,0.0331,0.584,0.96,0.102,0.0644,92.223,3DmndOuv85itKZ0kKAcNhS,spotify:track:3DmndOuv85itKZ0kKAcNhS,216160,4,Cinder Open - Eddy St.,The Smashing Pumpkins,G#Major,3d33849aa19d0bbf1cc9324a2c84eb39b7ea8f04?cid=774b29d4f13844c495f206cafdad9c86
0.444,0.534,F,-7.166,Major,0.0265,0.387,0.0111,0.119,0.325,95.029,0hSjFFJfswJ1JtzsY1tbvB,spotify:track:0hSjFFJfswJ1JtzsY1tbvB,192773,4,Blissed - Sadlands Dem,The Smashing Pumpkins,FMajor,36e34a91f705516e712045b7abd80d8461222b11?cid=774b29d4f13844c495f206cafdad9c86
